JO_REQST_NO,CMPNY_NM,JO_SJ,JOBCODE_NM,CAREER_CND_NM,ACDMCR_NM,EMPLYM_STLE_CMMN_MM,HOPE_WAGE,WORK_PARAR_BASS_ADRES_CN,SUBWAY_NM,WORK_TIME_NM,HOLIDAY_NM,WEEK_WORK_HR,RCEPT_CLOS_NM,RCEPT_MTH_NM,PRESENTN_PAPERS_NM,MNGR_PHON_NO,BSNS_SUMRY_CN,DTY_CN,RET_GRANTS_NM,JO_FEINSR_SBSCRB_NM,JO_REG_DT,WELFARE_CN,직무상세성점수,기업소개점수,급여품질점수,복지점수,근무조건점수,출퇴근편의점수,종합점수,등급
H954202607271749,구리참사랑노인복지센터,[교문동] 재가요양보호사 구인,재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 구리시,,(근무시간) (오후) 2시 00분 ~ (오후) 5시 00분,주5일근무,15,마감일 (2026-09-26),기타   ,이력서 기타  ,031-550-2317,노인요양복지시설,"- 5등급 할아버님 케어
- 일상생활지원, 정서지원, 가사업무등
- 주5일, 14:00~17:00
- 치매교육 필수
- 시급 13,200원 (기본시급 +기타수당 포함)



【 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금, 근무(예정지) 등에 차이가 있을 수 있음 】",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,8.0,5.0,18.0,7.4,20.0,7.0,65.4,C
H954202607271743,하예성재가복지센터,재가 요양보호사 채용(쌍문초교_3등급 할머니),재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,서울 도봉구,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,15,마감일 (2026-09-26),기타   ,이력서   ,02-2091-2925,"방문요양, 방문목욕","* 쌍문초교와 숭미초교 사이 3등급 여어르신(77세) 방문요양
* 부부동거 (대상자 케어위주 근무)
* 이동변기. 일부 기저귀케어. 실내에서 보행재활 운동도움 위주. 반찬약간
* 9시~12시 주6일/
* 10,320원(주휴수당 포함 13.100원)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,18.0,7.4,20.0,7.0,62.4,C
H954202607271160,나라개발시스템주식회사,[복지카드소지자 우대] 송도 아트윈푸르지오아파트 외곽미화직 채용,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",무관,관계없음,계약직,월급 / 180만원 ,인천 연수구.,,"- 근무시간 : 평일 08:30~16:00 / 휴게 1시간
                토 근무시 수당지급 (08:",주5일근무,32,마감일 (2026-09-26),방문 기타  ,이력서   ,02-2063-6757,아파트 소독 및  청소,"[ 복지카드소지자 우대 / 송도 아트윈푸르지오 아파트 외곽미화원 모집 ]

- 아파트 미화  업무 / 미화경력 필수
 
- 근무시간 : 평일 08:30~16:00 / 휴게 1시간
                토 근무시 수당지급  (08:30~12:00)
- 주 5일

- 급여 1,799,240원

- 연수구 인천타워대로 253-25 소재

***장애인 복지카드소지자 우대",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,11.5,5.0,20.0,7.4,20.0,7.0,70.9,B
H954202607270847,제이엔테크,소형 CNC 조작원 (프로그램 세팅 경험자 우대),CNC 선반 조작원(NC 선반 조작원),경력,관계없음,상용직,월급 / 250만원 - 면접 후 협의가능 ,경기 안산시시흥스마트허브 4다 605-3,,(근무시간) (오전) 7시 30분 ~ (오후) 5시 00분,주5일근무,45,마감일 (2026-09-26),고용24 입사지원   ,이력서   ,031-412-6918,소형 CNC 금속류 가공업,"CNC 및 NC 프로콘 가공 유 경험자 채용 합니다.

1. 근무시간 
   1)  주간 : 07:30~17:00(잔업 : 협의)  / 야간 : 희망자 협의 
   2) 파트타입 근무가능 
   3) 토, 일 : 유동적임 (협의) 
   
2. 우대사항 
    1)  CNC 가공 근무 유 경험자 (제조업 근무 경험자)
    2)  프로그램 가능자 우대 
    3)  근거리 거주자 (안산,시흥)

3. 근무지 : 시화공단 (경기도 안산시 단원구 성곡동)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,10.0,5.0,20.0,7.4,20.0,7.0,69.4,C
H954202607271697,아리아케어 방문요양 성동 성수센터,[오금동/4등급할머니/13~16시] 재가 요양보호사 모집,재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,서울 송파구더플리티넘송파  ,,(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분,주5일근무,15,마감일 (2026-09-26),기타   ,이력서   ,02-2147-3682,방문요양,"- 대상자 : 오주중학교 인근 오금동 더플래티넘송파 4등급 할머니(39년생)
- 직무 내용 : 운동 도움, 산책 도움, 샤워 도움 등
- 근무 시간 13:00~16:00, 주5일
-기본 시급 10,320원 + 기타 수당  
 
* 지원 문의 : 전화(02-462-9248 / 010-2591-2621)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607270994,(주)케이비세라믹,"건설자재 전문가로서 성장하고 싶은 분, 함께 성장하는 기회입니다.",,무관,고등학교,상용직,월급 / 280만원 ,인천 제물포구,,(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분,주5일근무,40,마감일 (2026-09-26),방문 고용24 입사지원  ,이력서 자기소개서  ,032-460-4837,타일 직수입 도매업체*,"[모집직무]
건설자재 영업원, 가구 판매원, 상점 판매원

[직무소개]
우리 회사는 해외에서 타일을 직수입하여 도매 및 유통하는 업체입니다. 본 직무는 다양한 타일 및 건축자재를 판매하고 고객에게 최적의 제품을 추천해주는 역할을 수행합니다.

[주요업무]
- 타일 및 건축 자재 판매
- 고객과의 상담 및 문의 응대
- 제품 정보 제공 및 기술 지원
- 매출 목표 달성을 위한 영업 활동
- 재고 관리 및 재고 집계",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,16.0,5.0,20.0,7.4,20.0,7.0,75.4,B
H954202607271677,도연재가방문요양센터,요양보호사님을 구합니다 (4등급 할머니),재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 파주시,,(근무시간) (오후) 1시 00분 ~ (오후) 4시 00분,주5일근무,15,마감일 (2026-09-26),방문   ,이력서   ,031-8071-4248,방문요양. 방문목욕,"*4등급 할머니
방문요양(식사준비 및 제공, 청소 및 정리정돈, 주1회 샤워도움)

*임금지급형태 : 시급(10,320원) + 주휴수당 등 = 13,200원

* 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자마다 주 소정근로시간이나 임금,근무(예정)지 등에 차이가 있을 수 있음",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,18.0,7.4,20.0,7.0,62.4,C
H954202607271658,현대홈노인복지지원센터,[홍제동] 요양보호사 구인,재가 간병인,무관,관계없음,상용직(시간제),시급 / 13000원 ,서울 서대문구.,,(근무시간) (오후) 4시 00분 ~ (오후) 7시 00분,주5일근무,15,마감일 (2026-09-26),방문   ,기타   ,02-330-1485,노인요양보호,"- 홍제동 5등급 할머니
- 근로시간 16:00~19:00
- 주5일",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,18.0,7.4,20.0,7.0,62.4,C
H954202607271651,청춘재활노인복지센터,"5등급 할머니어르신 재가요양보호사 구합니다.(삼숭동, TS푸른솔3차)",재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 양주시,,월~금 : 15:00 ~ 18:00 (3시간)/주5일근무,주5일근무,15,마감일 (2026-09-26),방문   ,이력서   ,031-849-2340,주야간보호 방문요양,"1. 업 체 명 : 케어인청춘재활노인복지옥정센터
2. 모집직종 : 재가요양보호사 1명 (대상자: 5등급 할머니어르신/아드님 케어시간에는 외출)
                  ** 치매교육 이수 필수,일상생활지원 및 신체활동보조
3. 근무주소 : 양주시 삼숭동 TS푸른솔3차
4. 근무시간 : 월~금 : 15:00 ~ 18:00 (3시간)/주5일근무
5. 요양보호사자격증 (필수)
6. 급여 : 시급 13,100원(수당포함)
8. 접수방법 : 전화통화 및 방문 접수",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,11.5,5.0,18.0,7.4,20.0,7.0,68.9,C
H954202607271644,안토(ANTO)재가복지센터,[4등급/16:30~19:30/격주토/하남시 신장동] 재가요양보호사 모집,재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 하남시489,,(근무시간) (오후) 4시 30분 ~ (오후) 7시 30분,주5일근무,15,마감일 (2026-09-26),방문   ,이력서   ,031-730-7003,요양보호사 재가로 파견하는 업무,"* 4등급 할아버지/독거
-화장실이동가능/ 음식지원
-근무시간 오후4:30~7:30 (격주 토요일 근무)
-시급 10,320원(포괄시급 13,200원)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607271623,현대홈노인복지지원센터,[홍은동] 요양보호사 구인,재가 간병인,무관,관계없음,상용직(시간제),시급 / 13000원 ,서울 서대문구.,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,15,마감일 (2026-09-26),방문   ,기타   ,02-330-1460,노인요양보호,"- 홍은동 4등급 할아버지 재가요양
- 9시~12시/주5일
- 일상생활지원",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607271021,(주)에스이티,"삼성 반도체장비 AS 엔지니어, SETUP 엔지니어 신입채용",전자공학 기술자 및 연구원,신입,관계없음,상용직,최소연봉 / 3000만원 ,경기 오산시,,(근무시간) (오전) 8시 00분 ~ (오후) 5시 00분,주5일근무,40,마감일 (2026-09-26),고용24 입사지원   ,이력서 자기소개서  ,031-8024-9831,반도체 장비 이설 및 부품 제조,"업무 : 삼성 라인내 작업(방진복 착용)
장비 : Applied Materials, Lam Reserarch/AMAT, LAM
부서 : 기술부1팀, 기술부2팀
복지 : 식대별도, 체력훈련비, 생일축하금, 연월차 자유
내용 : 2개 부서에서 채용중
특이사항 : 본사-오산, 근무지-평택 삼성, 기숙사 제공(근무지 바로 앞)

* 기술부1팀 - 장비 setup, 해체, 이설, 도킹 엔지니어
   1.  삼성 화성 캠퍼스 현장
   2. 삼성 캠퍼스 라인내 반도체 장비의 해체 및 이설, 도킹 업무

* 기술부2팀 - 장비 AS엔지니어
   1.  삼성 평택 캠퍼스 현장
   2. 업무 :  설비 공정 진행 중 발생하는 복합적인 Error Trace
                 설비 유지 보수",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,11.5,6.2,20.0,7.4,20.0,7.0,72.1,B
H954202607271625,부모사랑 재가복지센터,요양보호사님 모셔요,재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 수원시,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,15,마감일 (2026-09-26),고용24 입사지원   ,기타   ,031-231-7977,방문요양,"4등급 여자어르신

점심식사도움 및 일상생활 도움 필요

근무시간:오전 09:00~12:00
총시급:13,000(기본급:10,320+ 연차수당2,064 + 보전수당616)",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,18.0,7.4,20.0,7.0,62.4,C
H954202607271578,새하늘 노인복지센터,재가요양보호사 구인(서구 공촌동),재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,인천 서해구..,,(근무시간) (오전) 8시 30분 ~ (오전) 11시 30분,주5일근무,15,마감일 (2026-09-26),방문 고용24 입사지원 기타 ,기타   ,070-5067-0332,방문요양서비스 제공,"-4등급 할머니(독거)
-근무시간 08:30~11:30(주 5일)
-시급 10,320+기타 수당=13,000원",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,6.2,18.0,7.4,20.0,7.0,63.6,C
H954202607271524,선 재가복지센터,* 방학동/ 4등급 어르신  요양보호사 구인  ,재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 - 면접 후 협의가능 ,서울 도봉구,,(근무시간) (오후) 1시 30분 ~ (오후) 4시 30분,주5일근무,15,마감일 (2026-09-26),방문 기타  ,이력서 기타  ,02-2091-3482,방문요양," * 4등급 여어르신 / 배우자 - 직장다님
 * 신체활동, 가사 및 일상생활지원 등 업무
 * 13:30~16:30, 주5일, 일3시간
 * 급여 : 10,320원 , (주휴수당 포함시 13,200원)
 * 방학동 신동아 아파트 

 * 채용담당자 010-7977-7892 / 02-6956-2292",퇴직금,   ,2026-07-27,,9.5,5.0,18.0,5.0,20.0,7.0,64.5,C
H954202607271522,한나재가복지센터,능평동 5등급 남자어르신 케어해주실 요양보호사님을 모십니다,재가 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 ,경기 광주시반석그린 ,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,15,마감일 (2026-09-26),방문 고용24 입사지원  ,이력서   ,031-799-2754,"방문요양, 방문목욕","책임감 있고 상냥하신 요양보호사 선생님 모십니다.

* 위   치 : 경기도 광주시 능평동 오포베르빌아파트 주변
* 대상자 : 5등급 남자 어르신 (독거)
* 직   무 :  인지활동 및 일상생활 지원
* 근   무 : 주 5일 (09:00 ~ 12:00) 시간 조정 가능
* 시   급 : 13,100원 (시급 + 주휴수당 및 기타수당)
* 자   격 : 요양보호사 자격증.  치매교육이수자

 (실제 서비스 제공 기간에 따라 임금을 계산하여 지급하는 형태로,  근로자 및 상황에 따라 소정 근로 시간이나 임금 등에 차이가 있을 수 있음]",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,13.0,5.0,18.0,7.4,20.0,7.0,70.4,B
H954202607271948,라온재가복지센터,[구산동]요양보호사 구인,요양 보호사 및 간병인,무관,관계없음,상용직(시간제),시급 / 13300원 ,서울 은평구.,,(근무시간) (오후) 1시 30분 ~ (오후) 4시 30분,주5일근무,15,마감일 (2026-09-26),기타   ,기타   ,070-5080-4591,재가방문요양,"-대상: 4등급
-내용: 식사준비, 몸씻기도움, 가사도움, 말벗,병원(산책)동행 시 부축도음
-시간: 13:30~16:30/주5
-급여: 시급 13,300원
-근무지: 은평구 갈현로16길",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,5.0,5.0,18.0,7.4,20.0,7.0,62.4,C
H954202607271771,돌봄재가복지센터,[중곡동/5등급/여자/오전] 재가 요양보호사 채용,재가 간병인,무관,관계없음,계약직(시간제),시급 / 10320원 ,서울 광진구,,(근무시간) (오전) 9시 00분 ~ (정오) 12시 00분,주5일근무,15,마감일 (2026-09-26),방문 기타  ,자기소개서 기타  ,02-450-1419,방문요양서비스,"* 5등급 여자어르신(51년생) 케어/거동가능/독거
* 인지활동프로그램 진행(치매교육이수증 또는 지원자격 필수)
* 말벗/병원동행_지팡이 사용(또는 택시이용)
* 점심식사 준비/청소, 세탁 등 일상생활지원",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,18.0,7.4,20.0,7.0,63.9,C
H954202607271484,선 재가복지센터,"*1등급 할아버지 / 강북청소년 문화정보도서관 인근 / 09:00~13:00, 주6일 ",요양 보호사 및 간병인,무관,관계없음,상용직(시간제),시급 / 10320원 - 면접 후 협의가능 ,서울 강북구.,,(근무시간) (오전) 9시 00분 ~ (오후) 1시 00분,주6일근무,24,마감일 (2026-09-26),방문 기타  ,기타   ,02-2091-3484,방문요양," * 1등급 할아버지 
 * 강북청소년 문화정보도서관 인근 , 배우자 함께 거주 
 * 업무내용 : 신체활동, 일상생활지원, 가사지원  등 
 * 거동불가, 기저귀케어, 침상목욕 주1회~2회
 * 근무시간 09:00~13:00, 주6일 하루 4시간 
 * 시급 10,320원(수당 포함 시 13,200원)  + 중증수당 별도 (6,000원/일)

 * 채용담당자 010-7977-7892 / 02-6956-2292",퇴직금,   ,2026-07-27,,14.5,5.0,18.0,5.0,20.0,7.0,69.5,C
H954202607270632,(주)금산엔지니어링,NCT오퍼레이터/절곡/레이저 근로자 채용합니다. ,금속 공작기계 조작원,무관,관계없음,상용직,월급 / 216만원 - 면접 후 협의가능 ,경기 포천시-,,(근무시간) (오전) 8시 30분 ~ (오후) 5시 30분,주5일근무,40,마감일 (2026-09-26),고용24 입사지원   ,이력서   ,031-828-0921,광.전자통신기기 케이스,"포천시 용정공단에 위치하고 있으며, 대표적으로 통신장비케이스 및 금속제울타리 등을 제작, 정밀부품을 생산하고 있습니다.

[담당업무]
NCT 및 레이저 절단기 운영 및 관리, 절곡 기계의 조작 및 유지보수 수행, 설비 점검 및 관리, 생산계획에 따라 작업 수행

[자격요건]
경력무관, 학력무관 (신입/초보자 가능)

[우대사항]
장애인복지카드 소지자 우대, 관련자격증 소지자 우대, 경력자 우대

[근무시간 및 형태]
오전 08시 30분-오후 05시 30분 / 휴게시간(10:30-10:40 / 15:30-15:40), 점심시간 별도(60분)

[급여조건]
회사내규에 따름, 협의가능 (면접 후 결정가능)

[장애인채용희망여부]
""희망""


***경력자는 임금 별도 협의 입니다***",퇴직연금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,16.0,5.0,20.0,7.4,20.0,7.0,75.4,B
H954202607271215,안산제일요양원,간호조무사 구인,간호조무사,무관,관계없음,상용직,월급 / 220만원 - 면접 후 협의가능 ,경기 안산시안산제일요양원,,(근무시간) (오전) 9시 00분 ~ (오후) 6시 00분,주5일근무,40,마감일 (2026-09-26),방문 팩스  ,이력서   ,031-481-5680,노인복지시설,"케어포 작성, 병원 동행, 전체 간호 업무",퇴직금,고용보험 산재보험 건강보험 국민연금,2026-07-27,,6.5,5.0,20.0,7.4,20.0,7.0,65.9,C
